source_id,date_raw,date_parsed,time,location,country,description,references
Magonia_1,7/1868,1868-07,,"Copiago, Chile",Chile,"A strange ""aerial construction"" bearing lights and making engine noises flew low over this town. Local people also described it as a giant bird covered with large scales producing a metallic noise. Although not an actual landing, this is the first instance of close observation of an unknown object at low altitude in the nineteenth century.",Fort 638; Anatomy 11 (Vallee)
Magonia_2,12/7/1872,1872-12-07,0100 hours,"Banbury, Great Britain",United Kingdom,"At King's Sutton an object resembling a haystack flew on an irregular course. Sometimes high, sometimes very low it was accompanied by fire and dense smoke. It produced the same effect as a tornado, felling trees and walls. It suddenly vanished.",Fort 189 (Vallee)
Magonia_3,1880,1880,,"Aldershot, Great Britain",United Kingdom,"A strange being dressed in tight-fitting clothes and shining helmet soared over the heads of two sentries, who fired without result. The apparition stunned them with something described as ""blue fire.""","FSR 61, 3; Magonia (Vallee)"
Magonia_4,5/15/1879,1879-05-15,2140,Persian Gulf,Persian Gulf,"Two very large ""wheels"" were seen spinning in the air and slowly coming to the surface of the sea. Estimated diameter: 40 m. Distance between the objects: 150 m. Speed: 80 km/h/ Duration: 35 min. Witnesses aboard the ship ""Vultur""",Round up 17; Anatomy 12 (Vallee)
Magonia_5,1880,1880,,Eastern Venezuela,,"A 14-year-old boy saw a luminous ball descending from the sky and hovering near him. He felt somehow ""drawn"" to it, but succeeded in backing away in spite of his terror.",Lor. III 2O6 (Vallee)
Magonia_6,3/26/1880,1880-03-26,evening,"Lamy, New Mexico",United States,"Four men walking near Galisteo Junction were surprised as they heard voices coming from a ""strange balloon,"" which flew over them. It was shaped like a fish and seemed to be guided by a large fanlike device. There were eight to ten figures aboard. Their language was not understood. The object flew low over Galisteo Junction and rose rapidly toward the east.","FSR 65, 3 (Vallee)"
Magonia_7,6/11/1881,1881-06-11,0400,"Between Melbourne and Sydney at sea, Australia",Australia,"The two sons of the Prince of Wales, one of them the future king of England, were cruising aboard ""La Bacchante"" when an object resembling a fully lighted ship was seen (""a phantom vessel all aglow"").",Fort 637; Anatomy 12 (Vallee)
Magonia_8,11/2/1885,1885-11-02,dawn,"Scutari, Turkey",Turkey,"A luminous object circled the harbor. Altitude: 5-6 m. Illuminated the whole town. Duration: 1 1/2 min, as a bluish-green flame. Then plunged into the sea. Made several circles above the ferry-boat pier.",LDLN 48; Anatomy 14 (Vallee)
Magonia_9,11/12/1887,1887-11-12,2400,"Cape Race, Atlantic Ocean",Atlantic Ocean,"A huge sphere of fire was observed rising out of the ocean by witnesses aboard the ""Siberian."" It rose to an altitude of 16 m, flew against the wind, and came close to the ship, then ""dashed oft"" toward the southeast. Duration: 5 min.",LDLN 48; Anatomy 14 (Vallee)
Magonia_10,1896,1896,,"Arolla, near Zermatt, Swiss Alps",,"Author Aleister Crowley was walking in the mountains when he suddenly saw two little men. He made a gesture to them, but they did not seem to pay attention and disappeared among the rocks.","Magic Without Tears, by A. Crowley (Vallee)"
Magonia_11,3/26/1897,1897-03-26,night,"Sioux City, Iowa",United States,Approximate date. Robert Hibbard was caught by an anchor dropped from an unknown flying machine 22 km north of the town. He was dragged over 10 m and fell as his clothes were torn.,"FSR 66, 4 (Vallee)"
Magonia_12,3/28/1897,1897-03-28,2230,"Omaha, Nebraska",United States,"The majority of the population observed an object arriving from the southeast. It looked like a huge light, flew northwestward slowly, came to low altitude. A crowd gathered at a street corner to watch it.",185 (Vallee)
Magonia_13,4/1/1897,1897-04-01,2100,"Everest, Kansas",United States,"The whole town saw an object fly under the cloud ceiling. It came down slowly, then flew away very fast to the southeast. When directly over the town it swept the ground with its powerful light. It was seen to rise up at fantastic speed until barely discernible, then to come down again and sweep low over the witnesses. At one point it remained stationary for 5 min at the edge of a low cloud, which it illuminated. All could clearly see the silhouette of the craft.","FSR 66, 4 (Vallee)"
Magonia_14,4/12/1897,1897-04-12,1430,"Nilwood, Illinois",United States,"On the property of Z. Thacker, 19 km north of Carlinville, an unknown object landed. Before the three witnesses could reach it, the craft, which was shaped like a cigar with a dome, rose slowly and left majestically toward the north. Witnesses: Edward Teeples, William Street and Franklin Metcalf.",186; Anatomy 12 (Vallee)
Magonia_15,4/12/1897,1897-04-12,1800,"Girard, near Green Ridge, Illinois",United States,"A large crowd of miners saw an unknown object land 3 km north of Green Ridge and 4 km south of Girard. The night operator of the Chicago-and-Alton Railroad, Paul McCramer, stated that he came sufficiently close to the craft to see a man emerge from it to repair the machinery. Traces were found over a large area. The object itself was elongated like a ship with a roof and a double canopy. It left toward the north.","186,187 (Vallee)"
Magonia_16,4/14/1897,1897-04-14,1500,"Gas City, Indiana",United States,"An object landed 2 km south of Gas City on the property of John Roush, terrifying the farmers and causing the horses and cattle to stampede. Six occupants of the ship came out and seemed to make some repairs. Before the crowd could approach the object, it rose rapidly and flew toward the east.",188 (Vallee)
Magonia_17,4/14/1897,1897-04-14,,"Cleveland, Ohio",United States,"Joseph Singler, captain of the ""Sea Wing,"" was fishing with S. H. Davis, of Detroit, when they saw on the lake what they thought was a ship, about 13 m long, with a canopy. A man, about 25 years old, wearing a hunting jacket and a cap, was fishing from the deck of the object. Near him were a woman and a 10-year old child. When the ""Sea Wing"" came close to the craft, a large, colored balloon rose from the object, which flew up with it to an altitude of about 150 m and circled ""like a hawk"" before flying away.",189 (Vallee)
Magonia_18,4/15/1897,1897-04-15,morning,"Linn Grove, Iowa",United States,"A large object was seen to fly slowly toward the north. It seemed ready to land and five men (F. G. Ellis, James Evans, David Evans, Joe Croaskey, Benjamin Buland) drove toward it. About 7 km north of Linn Grove, they found the craft on the ground, came within 700 m of it but it ""spread its four giant wings and rose towards the North."" Two strange figures aboard the craft made efforts to conceal themselves. Witnesses were surprised at the length of their hair. Most residents of Linn Grove saw the craft in flight.",190 (Vallee)
